"Method","Mean_Coverage","SD_Coverage","Min_Coverage","Max_Coverage","Mean_Runtime_Min"
"BO",854619.152022616,13485.6962342893,833805.967652563,874539.11743362,16.6197843281428
"GA",899962.277560325,11561.4984885293,875848.212010364,909813.221232641,1.6062306578954
